Name,Count,Length,Year
OLIVER,8427,6,2010
JACK,7031,4,2010
HARRY,6862,5,2010
ALFIE,5478,5,2010
CHARLIE,5410,7,2010
THOMAS,5307,6,2010
WILLIAM,5256,7,2010
JOSHUA,5217,6,2010
GEORGE,4542,6,2010
JAMES,4351,5,2010
DANIEL,4330,6,2010
JACOB,4308,5,2010
ETHAN,4166,5,2010
SAMUEL,4144,6,2010
JOSEPH,3496,6,2010
DYLAN,3147,5,2010
MOHAMMED,3105,8,2010
NOAH,3084,4,2010
LUCAS,3035,5,2010
OSCAR,3035,5,2010
ALEXANDER,3025,9,2010
BENJAMIN,3005,8,2010
MAX,2707,3,2010
ARCHIE,2692,6,2010
RILEY,2690,5,2010
JAYDEN,2567,6,2010
LEWIS,2565,5,2010
LOGAN,2534,5,2010
JAKE,2510,4,2010
RYAN,2489,4,2010
MUHAMMAD,2451,8,2010
TYLER,2326,5,2010
LIAM,2253,4,2010
HENRY,2239,5,2010
FINLEY,2189,6,2010
LEO,2123,3,2010
ISAAC,2115,5,2010
LUKE,2090,4,2010
ADAM,2088,4,2010
CALLUM,2044,6,2010
MATTHEW,1984,7,2010
HARRISON,1943,8,2010
EDWARD,1903,6,2010
CONNOR,1766,6,2010
FREDDIE,1716,7,2010
MASON,1712,5,2010
HARVEY,1698,6,2010
NATHAN,1571,6,2010
JAMIE,1528,5,2010
THEO,1478,4,2010
ZACHARY,1390,7,2010
ALEX,1359,4,2010
MICHAEL,1353,7,2010
TOBY,1330,4,2010
AARON,1326,5,2010
KAI,1308,3,2010
HARLEY,1304,6,2010
SEBASTIAN,1242,9,2010
OWEN,1238,4,2010
LEON,1204,4,2010
CAMERON,1191,7,2010
CHARLES,1152,7,2010
OLLIE,1130,5,2010
DAVID,1094,5,2010
RHYS,1037,4,2010
AIDEN,1022,5,2010
MOHAMMAD,1020,8,2010
FINLAY,981,6,2010
LOUIS,957,5,2010
LUCA,953,4,2010
REUBEN,931,6,2010
KIAN,930,4,2010
BEN,924,3,2010
KYLE,904,4,2010
LOUIE,904,5,2010
EVAN,892,4,2010
ASHTON,886,6,2010
GABRIEL,874,7,2010
BAILEY,841,6,2010
HAYDEN,825,6,2010
JOEL,802,4,2010
ARTHUR,786,6,2010
BOBBY,773,5,2010
REECE,771,5,2010
ELLIOT,760,6,2010
JUDE,757,4,2010
CALEB,747,5,2010
STANLEY,737,7,2010
KIERAN,723,6,2010
ROBERT,721,6,2010
AIDAN,710,5,2010
BRANDON,697,7,2010
SAM,692,3,2010
JOHN,690,4,2010
FREDERICK,688,9,2010
JENSON,686,6,2010
TAYLOR,683,6,2010
DEXTER,676,6,2010
KAYDEN,671,6,2010
BRADLEY,668,7,2010
