Name,Count,Length,Year
JACK,9079,4,2000
THOMAS,8672,6,2000
JAMES,7489,5,2000
JOSHUA,7097,6,2000
DANIEL,6229,6,2000
HARRY,6070,5,2000
JOSEPH,5877,6,2000
SAMUEL,5800,6,2000
MATTHEW,5482,7,2000
CALLUM,4911,6,2000
LUKE,4870,4,2000
WILLIAM,4804,7,2000
LEWIS,4574,5,2000
OLIVER,4402,6,2000
RYAN,4271,4,2000
BENJAMIN,4217,8,2000
GEORGE,4034,6,2000
JORDAN,3879,6,2000
LIAM,3825,4,2000
ADAM,3777,4,2000
ALEXANDER,3570,9,2000
JAKE,3543,4,2000
CONNOR,3328,6,2000
CAMERON,3049,7,2000
NATHAN,2856,6,2000
MOHAMMED,2637,8,2000
KIERAN,2586,6,2000
JACOB,2536,5,2000
JAMIE,2508,5,2000
MICHAEL,2413,7,2000
BEN,2400,3,2000
ETHAN,2392,5,2000
CHARLIE,2355,7,2000
BRADLEY,2268,7,2000
BRANDON,2209,7,2000
AARON,1969,5,2000
DYLAN,1811,5,2000
MAX,1794,3,2000
KYLE,1645,4,2000
REECE,1636,5,2000
ROBERT,1619,6,2000
CHRISTOPHER,1611,11,2000
DAVID,1542,5,2000
CHARLES,1530,7,2000
EDWARD,1523,6,2000
LOUIS,1516,5,2000
OWEN,1497,4,2000
ALEX,1427,4,2000
JOE,1407,3,2000
RHYS,1375,4,2000
TYLER,1349,5,2000
HENRY,1322,5,2000
ANDREW,1267,6,2000
MORGAN,1258,6,2000
SAM,1211,3,2000
HARRISON,1174,8,2000
ALFIE,1142,5,2000
JOHN,1096,4,2000
JONATHAN,1018,8,2000
SEAN,967,4,2000
DOMINIC,962,7,2000
SCOTT,924,5,2000
JAY,893,3,2000
NICHOLAS,839,8,2000
ELLIOT,837,6,2000
DECLAN,798,6,2000
ISAAC,798,5,2000
JOEL,791,4,2000
MUHAMMAD,780,8,2000
PATRICK,777,7,2000
HARVEY,753,6,2000
AIDAN,741,5,2000
KAI,723,3,2000
BAILEY,719,6,2000
TOBY,716,4,2000
BILLY,706,5,2000
MOHAMMAD,706,8,2000
ROSS,679,4,2000
PETER,678,5,2000
LEON,662,4,2000
ARCHIE,643,6,2000
MITCHELL,639,8,2000
ANTHONY,635,7,2000
TOM,635,3,2000
MASON,628,5,2000
ASHLEY,625,6,2000
MARK,622,4,2000
CONOR,619,5,2000
TAYLOR,618,6,2000
LUCAS,611,5,2000
OSCAR,611,5,2000
KIAN,610,4,2000
KANE,607,4,2000
STEPHEN,576,7,2000
MARCUS,567,6,2000
ELLIS,564,5,2000
JASON,561,5,2000
LEE,549,3,2000
ZACHARY,517,7,2000
EWAN,501,4,2000
